Entry #,Class,Width,Length,Notes,,,,,
C-511,C,8,60,,,,,,
C-510,C,16,29,,,,,,
C-507,C,26,26,,,,,,
C-513,C,24,24,,,,,,
C-506,C,10,23,,,,,,
C-503,C,22,22,,,,,,
C-505,C,20,20,,,,,,
C-512,C,18,20,,,,,,
C-509,C,17,19,,,,,,
C-515,C,28,15,,,,,,
C-508,C,15,15,3-D,,,,,
C-501,C,14,14,purse,,,,,
C-502,C,22,13,,,,,,
C-504,C,17,13,,,,,,
C-514,C,15,12,,,,,,
C-516,C,10.5,8.5,3-D,,,,,
MV-801,V,24,24,MV,,,,,
MV-802,V,20,20,MV,,,,,
SW-321,V,20,20,MV,,,,,
SW-325,V,20,20,MV,,,,,
SW-326,V,20,20,MV,,,,,
B-137,XXL,95,113,,,,,,
B-102,XL,89,104,,,,,,
B-134,XL,103,103,,,,,,
B-116,XL,84.5,101,,,,,,
B-110,XL,83,101,,,,,,
B-103,XL,100,100,,,,,,
B-113,XL,84,100,,,,,,
B-135,XL,88,99,,,,,,
B-107,XL,84,98.5,,,,,,
B-115,XL,86,98,,,,,,
B-136,XL,73,97,,,,,,
B-109,L,75,95,,,,,,
LW-418,L,75.5,94.5,,,,,,
B-142,L,92,92,,,,,,
R-001,R,90,90,,,,,,
B-117,L,73,90,,,,,,
B-129,L,74,89,,,,,,
B-123,L,66,88,,,,,,
B-114,L,70,87,,,,,,
B-111,L,76,86,,,,,,
B-121,L,72,86,,,,,,
B-124,L,78,85,,,,,,
LC-215,L,74,84.5,,,,,,
B-127,L,68.5,84.5,,,,,,
B-132,L,83,83,,,,,,
B-128,L,61,83,,,,,,
B-144,L,70,81.5,,,,,,
B-106,L,80.5,81,,,,,,
B-104,L,65.5,80.5,,,,,,
B-140,L,70,80,,,,,,
LW-423,L,69,80,,,,,,
B-143,L,67,80,,,,,,
LW-406,L,60,80,,,,,,
B-138,L,78,78,,,,,,
B-141,L,78,78,,,,,,
B-105,L,65.5,78,,,,,,
LC-208,L,63,78,,,,,,
LC-227,L,58,78,,,,,,
B-120,L,42,78,,,,,,
B-122,L,62,77,,,,,,
B-126,L,67,76,,,,,,
LC-216,L,59,76,,,,,,
LC-224,L,58,76,,,,,,
LC-219,L,52,75,,,,,,
B-108,L,66,74,,,,,,
LC-226,L,58,74,,,,,,
B-133,L,73,73,,,,,,
LC-206,L,67,73,,,,,,
B-125,L,60,73,,,,,,
B-130,L,72,72,,,,,,
LC-211,L,60,72,,,,,,
LW-425,L,60,72,,,,,,
LW-430,L,48,72,,,,,,
B-139,L,70,70,,,,,,
B-118,L,66,70,,,,,,
B-112,D,56,70,David's House,,,,,
LW-414,L,50,70,,,,,,
B-145,M,46,69,,,,,,
LW-433,M,56,68,,,,,,
LC-230,T,18,18,Tuffet realSize 54*68,,,,,
LC-203,M,47,68,,,,,,
LW-405,M,69,67,On end?,,,,,
B-119,M,66,67,,,,,,
LC-213,M,59,67,,,,,,
LW-442,M,45,67,,,,,,
LC-223,M,38,67,,,,,,
LC-210,M,66,66,,,,,,
LW-412,M,50,66,,,,,,
LW-413,M,49,66,,,,,,
B-131,M,50,65,,,,,,
LW-411,M,51,62.5,,,,,,
LC-222,M,47,62,Sirota class,,,,,
LC-228,M,58,61,,,,,,
LW-441,M,50,60,,,,,,
LC-204,M,48.25,60,,,,,,
LW-409,M,48,60,,,,,,
LW-443,M,48,60,,,,,,
LC-207,M,46,60,,,,,,
LW-431,M,51,58,,,,,,
LC-202,M,46,58,,,,,,
B-101,M,48,57,,,,,,
LW-444,M,45,57,,,,,,
LC-201,M,36,57,,,,,,
LW-432,M,51,56,,,,,,
LW-437,M,42,56,,,,,,
LW-434,M,41,56,,,,,,
LW-438,M,35,56,,,,,,
LW-408,M,55,55,,,,,,
LC-218,M,46.5,54.5,,,,,,
LW-427,M,50,54,,,,,,
LC-209,M,46.5,53.5,,,,,,
LC-229,M,47,53,,,,,,
LW-404,M,52,52,,,,,,
LC-214,M,45,52,,,,,,
LW-419,M,43,52,,,,,,
LW-435,M,38,51,,,,,,
LW-410,M,42.5,50.25,,,,,,
LC-212,M,41,50,,,,,,
LC-221,M,38,48,Sirota Class,,,,,
LC-205,M,41,47,,,,,,
LW-429,M,27,47,,,,,,
LW-421,M,45,45,,,,,,
LW-417,M,44,44,,,,,,
LW-440,M,43,43,Sirota class,,,,,
LW-424,M,42,42,,,,,,
LW-436,M,41,41,Sirota class,,,,,
LC-225,M,32,41,,,,,,
LW-402,M,30,40,,,,,,
LW-415,M,32,36.5,,,,,,
LW-426,M,36,36,,,,,,
O-701,M,20,36,,,,,,
LW-416,M,35,35,,,,,,
LW-401,M,31,35,,,,,,
LW-407,M,34,34,,,,,,
LW-439,M,34,34,,,,,,
LW-428,M,33,33,,,,,,
LW-403,M,31,31,,,,,,
SW-322,S,30,30,,,,,,
LW-422,S,33,28,,,,,,
SW-320,S,33.5,26,,,,,,
SW-302,S,29.75,26,,,,,,
SW-305,M,24.25,24.25,Was a S,,,,,
LW-420,S,38,24,,,,,,
SW-307,S,23.5,24,,,,,,
SW-319,S,24,23.75,,,,,,
SW-317,S,23,23.75,,,,,,
SW-313,S,36,23,,,,,,
SW-301,S,23,23,,,,,,
SW-308,S,17.5,23,,,,,,
SW-311,S,15.75,22,,,,,,
SW-316,S,25,21,,,,,,
O-702,S,48,20,,,,,,
SW-312,S,20,20,,,,,,
SW-309,S,13.75,18.5,,,,,,
SW-304,S,22,18.25,,,,,,
O-703,T,18,18,,Tuffet,Was 18/18,,,
